feature,lr_coefficient,lr_importance_norm,rf_importance,rf_importance_norm
avg_previous_10_service_delays,0.101476,0.118165,0.133223,0.133223
vessel_capacity_teu,0.046216,0.053817,0.132038,0.132038
avg_previous_10_terminal_delays,0.069391,0.080802,0.129652,0.129652
planned_crane_hours,0.076095,0.08861,0.126104,0.126104
planned_moves,0.016255,0.018928,0.104477,0.104477
previous_vessel_delay,0.027419,0.031928,0.075584,0.075584
month,0.051671,0.060169,0.069227,0.069227
service_code_encoded,0.059394,0.069162,0.065439,0.065439
day_of_week,0.080637,0.093898,0.053938,0.053938
terminal_id_encoded,-0.007012,0.008165,0.040874,0.040874
planned_crane_count,-0.120687,0.140535,0.032853,0.032853
terminal_congestion_score,0.030072,0.035017,0.025908,0.025908
is_weekend,-0.138112,0.160825,0.010454,0.010454
storm_flag,-0.034332,0.039978,0.000229,0.000229
